Customer ID,Tenure,Geography ID,Completed tutorial,Subscription ID,Role,Company ID,Rating,Theme,Original Score
10000000,7,2,yes,2,1,2,High,speed,9
10000001,9,1,yes,2,1,1,High,features,10
10000002,7,1,yes,1,1,2,High,design,9
10000003,24,4,yes,2,1,2,High,price,10
10000004,6,4,no,2,1,1,High,governance,9
10000005,21,2,yes,2,1,2,High,speed,10
10000006,26,2,yes,1,1,1,High,speed,7
10000007,18,2,yes,2,1,3,High,design,10
10000008,12,3,yes,2,1,2,High,security,6
10000009,9,1,yes,2,1,1,High,features,6
10000010,13,1,yes,2,1,3,High,reliability,7
10000011,10,1,yes,2,1,1,High,reliability,9
10000012,15,1,yes,2,1,2,High,features,8
10000013,23,4,yes,2,1,2,High,features,6
10000014,17,1,yes,2,1,2,High,services,10
10000015,18,3,yes,2,1,2,High,security,6
10000016,16,4,yes,2,1,1,High,reliability,6
10000018,53,3,yes,2,1,2,High,security,10
10000019,19,1,yes,2,1,2,High,services,6
10000020,10,1,yes,1,1,2,High,price,10
10000021,21,2,yes,2,1,2,High,speed,8
10000022,18,3,yes,1,1,1,High,price,7
10000023,44,1,yes,2,1,2,High,services,8
10000024,8,3,yes,1,1,2,High,security,8
10000025,22,1,yes,2,1,2,High,reliability,10
10000027,11,1,yes,1,1,2,High,design,10
10000028,2,1,yes,2,1,1,High,speed,10
10000029,29,1,yes,1,1,1,High,features,6
10000030,24,1,no,1,1,2,High,features,10
10000031,3,2,yes,2,1,2,High,speed,9
10000032,48,1,yes,1,1,2,High,reliability,8
10000033,2,1,yes,2,1,2,High,price,10
10000034,18,2,yes,2,1,2,High,speed,7
10000035,26,1,yes,2,1,3,High,features,6
10000036,32,1,yes,2,1,2,High,price,7
10000037,28,1,no,2,1,2,High,features,7
10000038,19,1,yes,2,1,3,High,reliability,9
10000039,25,1,yes,2,1,1,High,reliability,7
10000040,18,1,yes,2,1,3,High,services,8
10000041,19,1,yes,2,1,2,High,speed,8
10000042,43,4,yes,2,1,2,High,price,7
10000043,4,1,yes,2,1,2,High,security,7
10000044,29,4,yes,2,1,2,High,security,7
10000045,8,3,yes,2,1,1,High,reliability,9
10000046,7,2,yes,2,1,2,High,support,6
10000047,9,1,yes,2,1,2,High,features,10
10000048,23,1,no,2,1,3,High,features,6
10000049,20,2,yes,2,1,1,High,speed,9
10000050,22,1,yes,2,1,2,High,price,8
10000051,12,2,yes,2,1,3,High,speed,7
10000052,23,2,yes,2,1,2,High,speed,8
10000053,3,1,yes,2,1,1,High,reliability,7
10000054,34,1,yes,1,1,1,High,features,7
10000055,2,2,no,1,1,1,High,design,9
10000056,29,2,yes,2,1,1,High,speed,10
10000057,5,4,yes,2,1,2,High,price,6
10000058,24,4,yes,2,1,1,High,price,7
10000059,5,3,yes,2,1,2,High,services,10
10000060,27,2,yes,2,1,2,High,reliability,8
10000061,25,1,yes,2,1,3,High,features,6
10000062,29,3,yes,2,1,2,High,price,10
10000063,18,1,yes,2,1,2,High,services,8
10000064,8,4,yes,2,1,2,High,price,8
10000065,17,2,yes,2,1,2,High,speed,9
10000066,48,2,no,2,1,2,High,security,6
10000067,20,2,yes,2,1,3,High,speed,6
10000068,28,1,yes,2,1,2,High,features,10
10000069,18,1,yes,1,1,1,High,price,10
10000070,20,1,yes,1,1,2,High,price,6
10000071,24,1,yes,1,1,2,High,services,7
10000072,15,1,yes,1,1,2,High,speed,8
10000073,16,3,yes,2,1,2,High,price,6
10000074,11,1,yes,2,1,2,High,features,6
10000075,5,1,yes,2,1,2,High,features,10
10000076,18,1,no,1,1,2,High,price,6
10000077,20,1,no,2,1,3,High,services,10
10000078,25,1,yes,1,1,3,High,services,6
10000079,8,1,yes,2,1,3,High,services,9
10000080,14,1,yes,2,1,1,High,reliability,7
10000081,2,1,no,2,1,3,High,services,9
10000083,11,2,yes,1,1,2,High,support,9
10000084,16,3,yes,2,1,2,High,price,8
10000085,17,1,yes,1,1,3,High,speed,10
10000086,1,1,yes,2,1,2,High,security,7
10000087,10,1,no,2,1,1,High,speed,9
10000088,15,1,yes,1,1,2,High,features,7
10000089,56,1,yes,2,1,2,High,reliability,7
10000090,48,4,yes,2,1,2,High,price,7
10000091,1,1,no,2,1,3,High,design,7
10000092,24,2,yes,1,1,2,High,speed,8
10000093,3,1,no,2,1,2,High,price,10
10000094,51,2,yes,2,1,2,High,security,7
10000095,25,1,yes,2,1,2,High,features,7
10000096,10,2,yes,2,1,2,High,speed,10
10000097,27,1,yes,2,1,2,High,price,6
10000098,10,3,no,2,1,2,High,price,8
10000099,13,3,yes,2,1,2,High,price,6
10000100,5,3,yes,2,1,2,High,price,9
10000101,26,2,yes,2,1,1,High,features,6
10000102,6,1,yes,2,1,2,High,price,6
10000103,17,2,yes,2,1,2,High,features,6
10000104,10,1,no,1,1,2,High,reliability,7
10000105,27,1,yes,2,1,1,High,security,6
10000106,8,2,yes,2,1,2,High,speed,7
10000107,21,1,yes,2,1,3,High,services,9
10000108,21,1,no,2,1,3,High,features,9
10000109,21,3,yes,1,1,2,High,support,8
10000110,2,3,yes,2,1,2,High,price,10
10000111,29,3,yes,2,1,3,High,security,9
10000112,22,1,yes,2,1,2,High,price,7
10000113,21,1,yes,2,1,2,High,reliability,7
10000114,8,2,yes,2,1,1,High,speed,8
10000115,9,2,no,2,1,3,High,speed,10
10000116,13,3,no,2,1,2,High,features,10
10000118,2,1,yes,2,1,2,High,price,8
10000119,11,4,yes,2,1,2,High,reliability,8
10000120,9,1,yes,1,1,2,High,services,10
10000121,1,2,no,1,1,2,High,features,6
10000122,4,1,yes,2,1,1,High,features,7
10000123,10,1,yes,1,1,1,High,reliability,9
10000124,14,1,yes,1,1,2,High,services,6
10000125,28,1,yes,2,1,2,High,price,8
10000126,19,4,no,2,1,2,High,speed,9
10000127,1,1,yes,2,1,1,High,reliability,8
10000128,24,1,yes,2,1,1,High,features,10
10000129,26,1,yes,1,1,1,High,reliability,9
10000130,3,2,yes,2,1,1,High,navigation,8
10000131,42,1,yes,2,1,2,High,price,7
10000132,21,1,yes,2,1,1,High,features,6
10000133,10,4,no,2,1,1,High,services,9
10000134,11,1,yes,2,1,2,High,price,9
10000135,25,1,yes,2,1,2,High,price,6
10000136,12,3,yes,2,1,3,High,other,9
10000137,22,1,yes,2,1,1,High,support,8
10000138,5,2,no,2,1,2,High,navigation,8
10000139,7,1,yes,2,1,2,High,price,8
10000140,3,1,yes,2,1,2,High,price,8
10000141,17,1,yes,2,1,2,High,services,9
10000142,28,3,yes,2,1,3,High,price,6
10000143,8,1,yes,2,1,2,High,navigation,9
10000144,24,3,yes,2,1,2,High,services,10
